Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31
0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,0,0,0,0,0,0,0,0,0,0
0.05,32.5081027706017,-4.73335396700282e-18,-2.06789668923681e-17,1.09258987678296e-11,-4.44088954644604e-18,0,0.379626967629056,0,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,2.34621211347985e-11,-4.73335396700282e-18,-2.06789668923681e-17,1.09258987678296e-11,-4.44088954644604e-18,0,2.7627899967797e-13,0,0,0
0.1,32.508102770618,-1.01274809202025e-17,-2.10318376506265e-17,2.15762984355809e-11,-1.25697975371776e-17,-1.21254401783036e-18,0.379626967629872,-4.58102436498125e-19,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,3.9676706364844e-11,-1.01274809202025e-17,-2.10318376506265e-17,2.15762984355809e-11,-1.25697975371776e-17,-1.21254401783036e-18,1.09229292277746e-12,-4.58102436498125e-19,0,0
0.15,32.5081027706271,4.12065488188083e-17,8.15675639116343e-17,3.19275128301946e-11,-7.1396806809399e-18,1.70466424070648e-18,0.379626967631213,-8.35474432085902e-19,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,4.88142859467189e-11,4.12065488188083e-17,8.15675639116343e-17,3.19275128301946e-11,-7.1396806809399e-18,1.70466424070648e-18,2.43360886997834e-12,-8.35474432085902e-19,0,0
0.2,32.5081027706293,1.11092114404892e-16,1.01991890801319e-16,4.19580108080826e-11,-6.66964392247927e-18,5.54919188704869e-18,0.379626967633064,-1.43740488341203e-18,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,5.10667064190784e-11,1.11092114404892e-16,1.01991890801319e-16,4.19580108080826e-11,-6.66964392247927e-18,5.54919188704869e-18,4.2847392300871e-12,-1.43740488341203e-18,0,0
0.25,32.5081027706249,1.85391218077081e-16,8.06410715346612e-17,5.16483309390287e-11,-2.36752257881571e-17,1.04242260355907e-17,0.379626967635409,-2.01244967615314e-18,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,4.66258143205778e-11,1.85391218077081e-16,8.06410715346612e-17,5.16483309390287e-11,-2.36752257881571e-17,1.04242260355907e-17,6.62914168003681e-12,-2.01244967615314e-18,0,0
0.3,32.508102770614,2.73187057416802e-16,3.90132409786212e-17,6.09811087809418e-11,-3.63354489539111e-17,1.27710575287984e-17,0.379626967638229,-3.73893332482905e-18,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,3.56976670445874e-11,2.73187057416802e-16,3.90132409786212e-17,6.09811087809418e-11,-3.63354489539111e-17,1.27710575287984e-17,9.44933020718963e-12,-3.73893332482905e-18,0,0
0.35,32.5081027705968,3.90297612914502e-16,7.71412111547523e-17,6.9941017398575e-11,-3.93233655825793e-17,1.58430238740534e-17,0.379626967641507,-5.86797280410267e-18,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,1.84954274118354e-11,3.90297612914502e-16,7.71412111547523e-17,6.9941017398575e-11,-3.93233655825793e-17,1.58430238740534e-17,1.27270416427905e-11,-5.86797280410267e-18,0,0
0.4,32.5081027705735,4.87786195870193e-16,8.03099870464023e-17,7.85147188977418e-11,-2.24965480462015e-17,1.79752027185919e-17,0.379626967645223,-7.77308213526166e-18,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,-4.76063632959267e-12,4.87786195870193e-16,8.03099870464023e-17,7.85147188977418e-11,-2.24965480462015e-17,1.79752027185919e-17,1.6443235661967e-11,-7.77308213526166e-18,0,0
0.45,32.5081027705444,5.76687799583371e-16,1.0102081502095e-16,8.66908410983826e-11,-1.347682702759e-17,2.154300425978e-17,0.379626967649358,-8.97146759095821e-18,0.785398163397448,0,32.5081027705783,0,0,0,0,0,0.37962696762878,0,0.785398163397448,0,-3.38573613589688e-11,5.76687799583371e-16,1.0102081502095e-16,8.66908410983826e-11,-1.347682702759e-17,2.154300425978e-17,2.05783168283347e-11,-8.97146759095821e-18,0,0
0.5,32.5081027705097,6.64507055156713e-16,1.00850854912725e-16,5.89502306827439e-06,-1.29302728836644e-17,2.63261133768948e-17,0.379626967653892,-9.6831804156643e-18,0.785398163397448,0,32.5081027705783,0,0,5.89492860835275e-06,0,0,0.37962696762878,0,0.785398163397448,0,-6.85602685734921e-11,6.64507055156713e-16,1.00850854912725e-16,9.44599216435514e-11,-1.29302728836644e-17,2.63261133768948e-17,2.51121901051476e-11,-9.6831804156643e-18,0,0
